  kp gain   kd gain         mean       median       min          max
     2E31      2E32      32.2756      18.5350    0.0000     173.4401
     3E31      3E32      34.0047      20.7366    0.0000     173.9168
     4E31      4E32      32.2756      18.5350    0.0000     173.4401
     5E31      5E32      36.2898      23.0730    0.0000     179.4260
     6E31      6E32      34.0047      20.7366    0.0000     173.9168
     7E31      7E32      34.3729      22.0149    0.0000     167.1330
     8E31      8E32      32.2756      18.5350    0.0000     173.4401
     9E31      9E32      33.5716      19.3377    0.0000     177.7697
     1E32      1E33      36.2898      23.0730    0.0000     179.4260
     2E32      2E33      36.2898      23.0730    0.0000     179.4260
     3E32      3E33      34.1763      20.5554    0.0000     179.1908
     4E32      4E33      36.2898      23.0730    0.0000     179.4260
     5E32      5E33      36.2322      23.4547    0.0000     174.8282
     6E32      6E33      34.1763      20.5554    0.0000     179.1908
     7E32      7E33      32.9614      18.9343    0.0000     178.8580
     8E32      8E33      36.2898      23.0730    0.0000     179.4260
     9E32      9E33      35.5467      22.1922    0.0000     175.4863
     1E33      1E34      36.2322      23.4547    0.0000     174.8282
     2E33      2E34      36.2322      23.4547    0.0000     174.8282
     3E33      3E34      37.6221      25.2820    0.0000     176.4642
     4E33      4E34      36.2322      23.4547    0.0000     174.8282
     5E33      5E34      32.0455      17.0429    0.0000     176.3568
     6E33      6E34      37.6221      25.2820    0.0000     176.4642
     7E33      7E34      35.0387      20.0856    0.0000     168.1360
     8E33      8E34      36.2322      23.4547    0.0000     174.8282
     9E33      9E34      37.2986      22.7305    0.0000     179.5692
     1E34      1E35      32.0455      17.0429    0.0000     176.3568
     2E34      2E35      32.0455      17.0429    0.0000     176.3568
     3E34      3E35      34.3113      20.4967    0.0000     179.5165
     4E34      4E35      32.0455      17.0429    0.0000     176.3568
     5E34      5E35      32.7798      17.9270    0.0000     179.5968
     6E34      6E35      34.3113      20.4967    0.0000     179.5165
     7E34      7E35      32.8311      19.3819    0.0000     176.3346
     8E34      8E35      32.0455      17.0429    0.0000     176.3568
     9E34      9E35      27.9842      15.5516    0.0000     168.9940
     1E35      1E36      32.7798      17.9270    0.0000     179.5968
     2E35      2E36      32.7798      17.9270    0.0000     179.5968
     3E35      3E36      36.9527      21.9159    0.0000     178.4685
     4E35      4E36      32.7798      17.9270    0.0000     179.5968
     5E35      5E36      35.1262      21.3060    0.0000     173.7827
     6E35      6E36      36.9527      21.9159    0.0000     178.4685
     7E35      7E36      31.7819      18.9216    0.0000     178.7230
     8E35      8E36      32.7798      17.9270    0.0000     179.5968
     9E35      9E36      36.6134      23.2164    0.0000     175.8599
     1E36      1E37      35.1262      21.3060    0.0000     173.7827
     2E36      2E37      35.1262      21.3060    0.0000     173.7827
     3E36      3E37      35.4905      20.3181    0.0000     172.6966
     4E36      4E37      35.1262      21.3060    0.0000     173.7827
     5E36      5E37      29.9330      17.4752    0.0000     175.2414
     6E36      6E37      35.4905      20.3181    0.0000     172.6966
     7E36      7E37      29.5284      16.5297    0.0000     169.4416
     8E36      8E37      35.1262      21.3060    0.0000     173.7827
     9E36      9E37      35.6872      24.0086    0.0000     178.9408
     1E37      1E38      29.9330      17.4752    0.0000     175.2414
     2E37      2E38      29.9330      17.4752    0.0000     175.2414
     3E37      3E38      33.6918      19.9939    0.0000     173.6084
     4E37      4E38      29.9330      17.4752    0.0000     175.2414
     5E37      5E38      36.8273      26.2391    0.0000     174.7767
     6E37      6E38      33.6918      19.9939    0.0000     173.6084
     7E37      7E38      38.1259      23.5802    0.0000     178.3581
     8E37      8E38      29.9330      17.4752    0.0000     175.2414
     9E37      9E38      31.3565      17.6202    0.0000     179.3628
     1E38      1E39      36.8273      26.2391    0.0000     174.7767
     2E38      2E39      36.8273      26.2391    0.0000     174.7767
     3E38      3E39      34.7889      24.2727    0.0000     178.6552
     4E38      4E39      36.8273      26.2391    0.0000     174.7767
     5E38      5E39      32.6684      18.2829    0.0000     169.7719
     6E38      6E39      34.7889      24.2727    0.0000     178.6552
     7E38      7E39      32.5022      18.1558    0.0000     177.0261
     8E38      8E39      36.8273      26.2391    0.0000     174.7767
     9E38      9E39      33.5204      19.1621    0.0000     176.5665
     1E39      1E40      32.6684      18.2829    0.0000     169.7719
     2E39      2E40      32.6684      18.2829    0.0000     169.7719
     3E39      3E40      28.9869      17.0104    0.0000     175.2682
     4E39      4E40      32.6684      18.2829    0.0000     169.7719
     5E39      5E40      34.1633      20.6029    0.0000     178.5481
     6E39      6E40      28.9869      17.0104    0.0000     175.2682
     7E39      7E40      35.5172      19.8051    0.0000     177.2640
     8E39      8E40      32.6684      18.2829    0.0000     169.7719
     9E39      9E40      31.5310      18.0115    0.0000     179.8979
     1E40      1E41      34.1633      20.6029    0.0000     178.5481
     2E40      2E41      34.1633      20.6029    0.0000     178.5481
     3E40      3E41      30.6832      16.8402    0.0000     167.9536
     4E40      4E41      34.1633      20.6029    0.0000     178.5481
     5E40      5E41      34.2416      23.7465    0.0000     176.1500
     6E40      6E41      30.6832      16.8402    0.0000     167.9536
     7E40      7E41      31.0962      16.8732    0.0000     175.4879
     8E40      8E41      34.1633      20.6029    0.0000     178.5481
     9E40      9E41      35.2431      19.4319    0.0000     177.6481
