  kp gain   kd gain         mean       median       min          max   % below 20
     4E06      4E07      31.8344      18.4219    0.0000     178.1970      66.0792
     4E06      4E07      30.8351      17.8464    0.0000     178.9005      69.3168
     4E06      4E07      32.3597      18.8865    0.0000     179.8272      64.8256
     4E06      4E07      31.6512      18.0910    0.0000     173.8201      67.0544
     5E06      5E07      32.2452      19.9648    0.0000     166.1152      64.4284
     5E06      5E07      38.1717      25.6960    0.0000     179.2189      53.3165
     5E06      5E07      31.1476      17.8682    0.0000     177.0760      68.5225
     5E06      5E07      35.7476      20.5515    0.0000     179.3302      62.6252
     6E06      6E07      34.3537      21.8598    0.0000     179.4418      57.0790
     6E06      6E07      37.4286      24.1545    0.0000     175.4724      55.8662
     6E06      6E07      32.4550      17.6821    0.0000     178.2324      66.9037
     6E06      6E07      30.9259      19.5839    0.0000     175.8412      63.1678
     7E06      7E07      30.1055      17.0809    0.0000     171.8517      70.7548
     7E06      7E07      31.8029      18.0643    0.0000     175.3610      64.6696
