  kp gain   kd gain         mean       median       min          max   % below 20
   1.5E14    1.5E15      35.3372      22.7375    0.0000     175.4494      53.1960
   1.8E14    1.8E15      34.8329      20.2101    0.0000     179.9129      61.0046
   2.0E14    2.0E15      34.0655      22.4507    0.0000     154.2631      55.2758
   2.2E14    2.2E15      34.6535      20.7621    0.0000     165.1591      57.4602
   2.5E14    2.5E15      35.2300      20.6995    0.0000     179.1696      59.7652
   2.8E14    2.8E15      30.6629      17.5053    0.0000     173.2066      65.6005
   3.0E14    3.0E15      35.3372      22.7375    0.0000     175.4494      53.1960
   3.2E14    3.2E15      33.3232      19.7229    0.0000     177.0410      58.9266
   3.5E14    3.5E15      34.8329      20.2101    0.0000     179.9129      61.0046
   3.8E14    3.8E15      34.1226      19.0452    0.0000     178.0409      65.0561
   4.0E14    4.0E15      34.0655      22.4507    0.0000     154.2631      55.2758
   4.2E14    4.2E15      39.0184      26.6259    0.0000     177.6726      52.5045
   4.5E14    4.5E15      34.6535      20.7621    0.0000     165.1591      57.4602
   4.8E14    4.8E15      35.3834      21.0595    0.0000     171.5884      59.3557
   5.0E14    5.0E15      35.2300      20.6995    0.0000     179.1696      59.7652
   5.2E14    5.2E15      36.9065      24.1185    0.0000     179.4434      53.6694
   5.5E14    5.5E15      30.6629      17.5053    0.0000     173.2066      65.6005
   5.8E14    5.8E15      30.6326      18.8705    0.0000     159.8747      61.3610
   6.0E14    6.0E15      35.3372      22.7375    0.0000     175.4494      53.1960
   6.2E14    6.2E15      34.4499      20.5152    0.0000     176.3456      60.6660
   6.5E14    6.5E15      33.3232      19.7229    0.0000     177.0410      58.9266
   6.8E14    6.8E15      36.0652      20.6471    0.0000     178.8732      61.5614
   7.0E14    7.0E15      34.8329      20.2101    0.0000     179.9129      61.0046
   7.2E14    7.2E15      35.1103      19.3395    0.0000     171.3919      62.9586
   7.5E14    7.5E15      34.1226      19.0452    0.0000     178.0409      65.0561
   7.8E14    7.8E15      30.1390      17.8310    0.0000     179.3213      66.0420
