  kp gain   kd gain         mean       median       min          max   % below 20
  1.00E04   1.00E05      79.7308      78.9095    0.0000     177.2857       4.9469
  1.25E04   1.25E05      82.8822      81.5637    0.0000     179.4831       2.7376
  1.50E04   1.50E05      77.6979      75.3110    0.0000     172.8563       5.1224
  1.75E04   1.75E05      77.7795      76.7798    0.0000     177.3871       5.7501
  2.00E04   2.00E05      74.8045      71.5047    0.0000     172.1766       5.3707
  2.25E04   2.25E05      68.0968      63.9839    0.0000     177.4760       7.4629
  2.50E04   2.50E05      61.4773      58.7167    0.0000     177.8107       6.2235
  2.75E04   2.75E05      63.6167      58.3734    0.0000     178.1912       4.7146
  3.00E04   3.00E05      55.5114      48.3064    0.0000     166.6135       8.9594
  3.25E04   3.25E05      57.4872      52.4453    0.0000     164.1761       9.5711
  3.50E04   3.50E05      52.6284      46.2743    0.0000     150.3239      13.1811
  3.75E04   3.75E05      52.4200      45.6305    0.0000     179.8326      13.1616
  4.00E04   4.00E05      49.4028      43.1113    0.0000     170.4383      11.1740
  4.25E04   4.25E05      48.6516      42.2345    0.0000     176.7125      16.1138
  4.50E04   4.50E05      54.3912      49.6952    0.0000     159.7750       8.3246
  4.75E04   4.75E05      49.3161      43.5905    0.0000     160.1951      12.9240
  5.00E04   5.00E05      45.3110      39.7227    0.0000     160.3566      16.5074
  5.25E04   5.25E05      56.0661      50.9295    0.0000     176.2722       9.6704
  5.50E04   5.50E05      48.5457      45.2593    0.0000     171.4643      11.3371
  5.75E04   5.75E05      35.7215      28.4806    0.0000     166.1133      28.1104
  6.00E04   6.00E05      48.3152      40.9752    0.0000     154.2451      17.0801
  6.25E04   6.25E05      44.6536      38.5870    0.0000     164.1395      15.2343
  6.50E04   6.50E05      44.4319      38.6372    0.0000     167.2170      20.3940
  6.75E04   6.75E05      41.9671      34.8376    0.0000     179.4432      22.7114
  7.00E04   7.00E05      35.8111      30.7158    0.0000     167.5835      28.5750
  7.25E04   7.25E05      39.5382      30.7205    0.0000     176.0299      31.5413
  7.50E04   7.50E05      42.5708      35.4447    0.0000     160.7491      28.7824
  7.75E04   7.75E05      43.4774      37.0446    0.0000     173.3227      19.8550
  8.00E04   8.00E05      38.8888      31.9357    0.0000     177.9818      26.0430
  8.25E04   8.25E05      32.1839      25.9707    0.0000     164.9681      34.9137
  8.50E04   8.50E05      33.4771      27.2139    0.0000     176.8695      34.9669
  8.75E04   8.75E05      37.3828      30.6791    0.0000     173.1140      31.5130
  9.00E04   9.00E05      39.7786      34.7598    0.0000     179.4222      26.5253
